Season,Rank,Club,Revenue (EUR million),Country
2019,1,Real Madrid,750.9,Spain
2019,2,Barcelona,690.4,Spain
2019,3,Manchester United,666,England
2019,4,Bayern Munich,629.2,Germany
2019,5,Manchester City,568.4,England
2019,6,Paris Saint‑Germain,541.7,France
2019,7,Liverpool,513.7,England
2019,8,Chelsea,505.7,England
2019,9,Arsenal,439.2,England
2019,10,Tottenham Hotspur,428.3,England
2019,11,Juventus,394.9,Italy
2019,12,Borussia Dortmund,317.2,Germany
2019,13,Atlético Madrid,304.4,Spain
2019,14,Internazionale,280.8,Italy
2019,15,Roma,250,Italy
2019,16,Schalke 04,243.8,Germany
2019,17,Everton,212.9,England
2019,18,Milan,207.7,Italy
2019,19,Newcastle United,201.5,England
2019,20,West Ham United,197.9,England
2019,21,Napoli,182.8,Italy
2019,22,Leicester City,179.4,England
2019,23,Southampton,172,England
2019,24,Crystal Palace,169,England
2019,25,Zenit Saint Petersburg,167.8,Russia
2019,26,Besiktas J.K,165.7,Turkey
2019,27,Sevilla,165.2,Spain
2019,28,Lyon,164.2,France
2019,29,Brighton,157.4,England
2019,30,Benfica,150.7,Portugal
2018,1,Manchester United,676.3,England
2018,2,Real Madrid,674.6,Spain
2018,3,Barcelona,648.3,Spain
2018,4,Bayern Munich,587.8,Germany
2018,5,Manchester City,527.7,England
2018,6,Arsenal,487.6,England
2018,7,Paris Saint‑Germain,486.2,France
2018,8,Chelsea,428,England
2018,9,Liverpool,424.2,England
2018,10,Juventus,405.7,Italy
2018,11,Tottenham Hotspur,355.6,England
2018,12,Borussia Dortmund,332.6,Germany
2018,13,Atlético Madrid,272.5,Spain
2018,14,Leicester City,271.1,England
2018,15,Internazionale,262.1,Italy
2018,16,Schalke 04,230.2,Germany
2018,17,West Ham United,213.3,England
2018,18,Southampton,212.1,England
2018,19,Napoli,200.7,Italy
2018,20,Everton,199.2,England
2018,21,Lyon,198.3,France
2018,22,Milan,191.7,Italy
2018,23,Zenit Saint Petersburg,180.4,Russia
2018,24,Roma,171.8,Italy
2018,25,Borussia Mönchengladbach,169.3,Germany
2018,26,Crystal Palace,164,England
2018,27,West Bromwich Albion,160.5,England
2018,28,Bournemouth,159.2,England
2018,29,Stoke City,158.3,England
2018,30,Benfica,157.6,Portugal
2017,1,Manchester United,689,England
2017,2,Barcelona,620.2,Spain
2017,3,Real Madrid,620.1,Spain
2017,4,Bayern Munich,592,Germany
2017,5,Manchester City,524.9,England
2017,6,Paris Saint‑Germain,520.9,France
2017,7,Arsenal,468.5,England
2017,8,Chelsea,447.4,England
2017,9,Liverpool,403.8,England
2017,10,Juventus,341.1,Italy
2017,11,Borussia Dortmund,283.9,Germany
2017,12,Tottenham Hotspur,279.7,England
2017,13,Atlético Madrid,228.6,Spain
2017,14,Schalke 04,224.5,Germany
2017,15,Roma,218.2,Italy
2017,16,Milan,214.7,Italy
2017,17,Zenit Saint Petersburg,196.5,Russia
2017,18,West Ham United,192.3,England
2017,19,Internazionale,179.2,Italy
2017,20,Leicester City,172.1,England
2017,21,Newcastle United,168.2,England
2017,22,Southampton,163.3,England
2017,23,Everton,162.5,England
2017,24,Lyon,160,France
2017,25,Fenerbahçe,157.7,Turkey
